0	1	mikroCPIC1618.exe -MSF -DBG -pP18F45K22 -DL -O11111114 -fo8 -N"C:\Users\Microgenios\Desktop\UNIDADE_03_ADC_CONVERSOR_ANALÓGICO_DIGITAL\03 - PROGRAMA ADC_FRACIONARIO\ADC_FRACIONARIO.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Users\Microgenios\Desktop\UNIDADE_03_ADC_CONVERSOR_ANALÓGICO_DIGITAL\03 - PROGRAMA ADC_FRACIONARIO\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC_60\defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC_60\uses\P18\" -SP"C:\Users\Microgenios\Google Drive\Novos Cursos Online\Microcontroladores PIC Programação em C\Exemplos de Programas\Exemplos de Programas\PIC18F45K22\11 - ADC_FRACIONARIO\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\uses\P18\" -SP"C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\04 - EFEITO_ROTACAO\" "main.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CString.mcl" "__Lib_Conversions.mcl" "__Lib_ADC_A_D.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl"	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC_60\defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC_60\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'C:\Users\Microgenios\Google Drive\Novos Cursos Online\Microcontroladores PIC Programação em C\Exemplos de Programas\Exemplos de Programas\PIC18F45K22\11 - ADC_FRACIONARIO'	 
warning: 0	1501	Specified search path does not exist: 'C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\Defs'	 
warning: 0	1501	Specified search path does not exist: 'C:\Arquivos de programas\Mikroelektronika\mikroC PRO for PIC\uses\P18'	 
warning: 0	1501	Specified search path does not exist: 'C:\Microgenios\Microcontroladores\PIC\Compiladores\MikroC\Programa\PRO\Exemplos\PIC18F4520\04 - EFEITO_ROTACAO'	 
hint: 0	1139	Available RAM: 1515 [bytes], Available ROM: 32768 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 16 ms	 
diagnostics: 0	122	Compilation Started	main.c
diagnostics: 108	123	Compiled Successfully	main.c
diagnostics: 0	127	All files Compiled in 47 ms	 
hint: 0	1144	Used RAM (bytes): 29 (2%)  Free RAM (bytes): 1486 (98%)	Used RAM (bytes): 29 (2%)  Free RAM (bytes): 1486 (98%)
hint: 0	1144	Used ROM (bytes): 1692 (5%)  Free ROM (bytes): 31076 (95%)	Used ROM (bytes): 1692 (5%)  Free ROM (bytes): 31076 (95%)
diagnostics: 0	125	Project Linked Successfully	ADC_FRACIONARIO.mcppi
diagnostics: 0	128	Linked in 47 ms	 
diagnostics: 0	129	Project 'ADC_FRACIONARIO.mcppi' completed: 141 ms	 
diagnostics: 0	103	Finished successfully: 17 fev 2014, 17:21:13	ADC_FRACIONARIO.mcppi
